study_accession	study_title	sample_title	experiment_title	library_name	cell_line	cell_type	omics
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine4_1	10			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine2_1	4			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine3_2	8			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine3_1	7			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine2_2	5			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue4_D_1_of_3	57			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue3_B_1_of_3	52			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine10_3R	30			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine8_3R	24			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue1_B_1_of_3	46			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine14_2	41			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue6_B_1_of_2	61			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue6_D_1_of_2	63			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue7_C_1_of_3	65			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue4_B_1_of_3	55			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine4_3	12			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine5_B	14			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine6_1	16			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine5_C	15			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine6_3	18			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue3_C_1_of_3	53			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine13_3R	39			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue5_C_1_of_3	59			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine3_3	9			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine1_1	1			RNA-seq
PRJNA512907	DNA Zoo	Chinese hamster	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2592	L2028			ATAC-seq
PRJNA512907	DNA Zoo	Chinese hamster	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2409	L869			ATAC-seq
PRJNA512907	DNA Zoo	Chinese hamster	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2409	L868			ATAC-seq
PRJNA512907	DNA Zoo	Chinese hamster	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2592	L2027			ATAC-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	DA-1	NextSeq 500 sequencing: GSM3827110: DA-1 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	DA-2	NextSeq 500 sequencing: GSM3827111: DA-2 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	DA-3	NextSeq 500 sequencing: GSM3827112: DA-3 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	DA-4	NextSeq 500 sequencing: GSM3827113: DA-4 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FA-1	NextSeq 500 sequencing: GSM3827106: FA-1 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FA-2	NextSeq 500 sequencing: GSM3827107: FA-2 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FA-3	NextSeq 500 sequencing: GSM3827108: FA-3 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FA-4	NextSeq 500 sequencing: GSM3827109: FA-4 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FL-1	NextSeq 500 sequencing: GSM3827102: FL-1 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FL-2	NextSeq 500 sequencing: GSM3827103: FL-2 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FL-3	NextSeq 500 sequencing: GSM3827104: FL-3 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	FL-4	NextSeq 500 sequencing: GSM3827105: FL-4 Cricetulus griseus RNA-Seq		LR73		RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127458: WTICD1	Illumina NovaSeq 6000 sequencing: GSM4061930: Sample 127458: WTICD1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127459: WTICD3	Illumina NovaSeq 6000 sequencing: GSM4061931: Sample 127459: WTICD3 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127460: WTICD4	Illumina NovaSeq 6000 sequencing: GSM4061932: Sample 127460: WTICD4 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127461: WTICD5	Illumina NovaSeq 6000 sequencing: GSM4061933: Sample 127461: WTICD5 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127462: eGFP3	Illumina NovaSeq 6000 sequencing: GSM4061934: Sample 127462: eGFP3 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127463: eGFP4	Illumina NovaSeq 6000 sequencing: GSM4061935: Sample 127463: eGFP4 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127464: eGFP5	Illumina NovaSeq 6000 sequencing: GSM4061936: Sample 127464: eGFP5 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	Sample 127465: eGFP6	Illumina NovaSeq 6000 sequencing: GSM4061937: Sample 127465: eGFP6 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Liver	Cricetulus.griseus.2868sTS.Male1.Liver			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Kidney	Cricetulus.griseus.3071sTS.Male1.Kidney			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Heart	Cricetulus.griseus.2866sTS.Male1.Heart			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Testis	Cricetulus.griseus.2865sTS.Male1.Testis			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Brain	Cricetulus.griseus.2863sTS.Male1.Brain			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Liver	Cricetulus.griseus.2867sTS.Female1.Liver			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Cerebellum	Cricetulus.griseus.3068sTS.Female1.Cerebellum			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) male Cerebellum	Cricetulus.griseus.2864sTS.Male1.Cerebellum			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Ovary	Cricetulus.griseus.2871sTS.Female1.Ovary			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Kidney	Cricetulus.griseus.3070sTS.Female1.Kidney			RNA-seq
