decision_id	run_accession	study_accession	sample_accession	identity_status	protocol_status	evidence	reference	review_date
RUN018	SRR24650917	PRJNA974014	SAMN35159455		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431021	2026-09-14
RUN019	SRR24650933	PRJNA974014	SAMN35159456		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431005	2026-09-14
RUN020	SRR24650940	PRJNA974014	SAMN35159463		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430998	2026-09-14
RUN021	SRR24650964	PRJNA974014	SAMN35159471		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430974	2026-09-14
RUN022	SRR24650982	PRJNA974014	SAMN35159473		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430956	2026-09-14
RUN023	SRR24650984	PRJNA974014	SAMN35159475		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430954	2026-09-14
RUN024	SRR24650985	PRJNA974014	SAMN35159476		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430953	2026-09-14
RUN025	SRR24650991	PRJNA974014	SAMN35159482		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430947	2026-09-14
RUN026	SRR24650995	PRJNA974014	SAMN35159486		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430943	2026-09-14
RUN027	SRR24650996	PRJNA974014	SAMN35159487		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430942	2026-09-14
RUN028	DRR706776	PRJDB35724	SAMD01599747	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599747	2026-09-14
RUN029	DRR706777	PRJDB35724	SAMD01599748	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599748	2026-09-14
RUN030	DRR706785	PRJDB35724	SAMD01599756	non_target		Sample-level cell_line CHL-B08 and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599756	2026-09-14
RUN031	DRR706787	PRJDB35724	SAMD01599758	non_target		Sample-level cell_line CHL-B08 and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599758	2026-09-14
RUN032	SRR12587966	PRJNA661407	SAMN16057385		bulk_confirmed	Run-linked experiment explicitly identifies bulk RNA-seq and describes KAPA stranded library preparation, despite the study title.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX9074577	2026-09-14
RUN033	SRR12774927	PRJNA667472	SAMN16373832	non_target		Sample-level tissue/source metadata identifies non-CHO material: Bone marrow-derived macrophages	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373832	2026-09-14
RUN034	SRR12774957	PRJNA667472	SAMN16373865	non_target		Sample-level tissue/source metadata identifies non-CHO material: Kidney	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373865	2026-09-14
RUN035	SRR12774959	PRJNA667472	SAMN16373863	non_target		Sample-level tissue/source metadata identifies non-CHO material: Lung	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373863	2026-09-14
RUN036	SRR12774962	PRJNA667472	SAMN16373860	non_target		Sample-level tissue/source metadata identifies non-CHO material: Pancreas	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373860	2026-09-14
RUN037	SRR24650914	PRJNA974014	SAMN35159452		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431024	2026-09-14
RUN038	SRR24650916	PRJNA974014	SAMN35159454		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431022	2026-09-14
RUN039	SRR24650934	PRJNA974014	SAMN35159457		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431004	2026-09-14
RUN040	SRR24650939	PRJNA974014	SAMN35159462		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430999	2026-09-14
RUN041	SRR24650961	PRJNA974014	SAMN35159468		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430977	2026-09-14
RUN042	SRR24650986	PRJNA974014	SAMN35159477		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430952	2026-09-14
RUN043	SRR24650993	PRJNA974014	SAMN35159484		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430945	2026-09-14
RUN044	SRR29929617	PRJNA1139152	SAMN42763091		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423545	2026-09-14
RUN045	DRR706773	PRJDB35724	SAMD01599744	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599744	2026-09-14
RUN046	DRR706778	PRJDB35724	SAMD01599749	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599749	2026-09-14
RUN047	DRR706786	PRJDB35724	SAMD01599757	non_target		Sample-level cell_line CHL-B08 and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599757	2026-09-14
RUN048	SRR12587965	PRJNA661407	SAMN16057385		bulk_confirmed	Run-linked experiment explicitly identifies bulk RNA-seq and describes KAPA stranded library preparation, despite the study title.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX9074578	2026-09-14
RUN049	SRR12587967	PRJNA661407	SAMN16057385		bulk_confirmed	Run-linked experiment explicitly identifies bulk RNA-seq and describes KAPA stranded library preparation, despite the study title.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX9074576	2026-09-14
RUN050	SRR24650911	PRJNA974014	SAMN35159449		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431027	2026-09-14
RUN051	SRR24650935	PRJNA974014	SAMN35159458		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431003	2026-09-14
RUN052	SRR24650936	PRJNA974014	SAMN35159459		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431002	2026-09-14
RUN053	SRR24650937	PRJNA974014	SAMN35159460		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431001	2026-09-14
RUN054	SRR24650960	PRJNA974014	SAMN35159467		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430978	2026-09-14
RUN055	SRR24650963	PRJNA974014	SAMN35159470		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430975	2026-09-14
RUN056	SRR24650981	PRJNA974014	SAMN35159472		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430957	2026-09-14
RUN057	SRR24650989	PRJNA974014	SAMN35159480		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430949	2026-09-14
RUN058	SRR24650992	PRJNA974014	SAMN35159483		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430946	2026-09-14
RUN059	SRR24650994	PRJNA974014	SAMN35159485		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430944	2026-09-14
RUN060	SRR12774953	PRJNA667472	SAMN16373840	non_target		Sample-level tissue/source metadata identifies non-CHO material: Brain	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373840	2026-09-14
RUN061	SRR12774954	PRJNA667472	SAMN16373839	non_target		Sample-level tissue/source metadata identifies non-CHO material: Brain	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373839	2026-09-14
RUN062	SRR12774956	PRJNA667472	SAMN16373866	non_target		Sample-level tissue/source metadata identifies non-CHO material: Heart	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373866	2026-09-14
RUN063	SRR12774960	PRJNA667472	SAMN16373862	non_target		Sample-level tissue/source metadata identifies non-CHO material: Whole Organism	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373862	2026-09-14
RUN064	SRR12774961	PRJNA667472	SAMN16373861	non_target		Sample-level tissue/source metadata identifies non-CHO material: Muscle	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373861	2026-09-14
RUN065	SRR12774963	PRJNA667472	SAMN16373859	non_target		Sample-level tissue/source metadata identifies non-CHO material: Spleen; blood	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373859	2026-09-14
RUN066	SRR29929613	PRJNA1139152	SAMN42763087		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423549	2026-09-14
RUN067	SRR29929616	PRJNA1139152	SAMN42763090		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423546	2026-09-14
RUN068	SRR29929618	PRJNA1139152	SAMN42763092		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423544	2026-09-14
RUN069	SRR12587964	PRJNA661407	SAMN16057385		bulk_confirmed	Run-linked experiment explicitly identifies bulk RNA-seq and describes KAPA stranded library preparation, despite the study title.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX9074579	2026-09-14
RUN070	SRR12774926	PRJNA667472	SAMN16373837	non_target		Sample-level tissue/source metadata identifies non-CHO material: Bone marrow-derived macrophages	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373837	2026-09-14
RUN071	SRR12774928	PRJNA667472	SAMN16373831	non_target		Sample-level tissue/source metadata identifies non-CHO material: Bone marrow-derived macrophages	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373831	2026-09-14
RUN072	SRR12774958	PRJNA667472	SAMN16373864	non_target		Sample-level tissue/source metadata identifies non-CHO material: Liver	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373864	2026-09-14
RUN073	SRR24650957	PRJNA974014	SAMN35159464		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430981	2026-09-14
RUN074	SRR24650958	PRJNA974014	SAMN35159465		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430980	2026-09-14
RUN075	SRR24650962	PRJNA974014	SAMN35159469		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430976	2026-09-14
RUN076	SRR24650988	PRJNA974014	SAMN35159479		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430950	2026-09-14
RUN077	SRR29929614	PRJNA1139152	SAMN42763088		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423548	2026-09-14
RUN078	SRR29929615	PRJNA1139152	SAMN42763089		single_cell	Run-linked experiment describes 10X Chromium single-cell multiome ATAC plus gene expression; outside bulk scope.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX25423547	2026-09-14
REV2_DRR126383	DRR126383	PRJDB6793	SAMD00113893	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113893;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119127;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126384	DRR126384	PRJDB6793	SAMD00113894	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113894;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119128;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126385	DRR126385	PRJDB6793	SAMD00113895	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113895;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119129;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126386	DRR126386	PRJDB6793	SAMD00113896	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113896;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119130;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126387	DRR126387	PRJDB6793	SAMD00113897	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113897;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119131;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126388	DRR126388	PRJDB6793	SAMD00113898	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113898;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119132;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126389	DRR126389	PRJDB6793	SAMD00113899	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113899;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119133;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126390	DRR126390	PRJDB6793	SAMD00113900	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113900;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119134;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126391	DRR126391	PRJDB6793	SAMD00113901	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113901;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119135;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126392	DRR126392	PRJDB6793	SAMD00113902	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113902;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119136;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126393	DRR126393	PRJDB6793	SAMD00113903	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113903;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119137;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126394	DRR126394	PRJDB6793	SAMD00113904	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113904;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119138;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126395	DRR126395	PRJDB6793	SAMD00113905	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113905;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119139;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126396	DRR126396	PRJDB6793	SAMD00113906	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113906;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119140;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126397	DRR126397	PRJDB6793	SAMD00113907	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113907;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119141;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126398	DRR126398	PRJDB6793	SAMD00113908	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113908;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119142;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126399	DRR126399	PRJDB6793	SAMD00113909	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113909;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119143;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126400	DRR126400	PRJDB6793	SAMD00113910	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113910;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119144;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126401	DRR126401	PRJDB6793	SAMD00113911	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113911;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119145;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126402	DRR126402	PRJDB6793	SAMD00113912	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113912;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119146;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126403	DRR126403	PRJDB6793	SAMD00113913	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113913;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119147;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126404	DRR126404	PRJDB6793	SAMD00113914	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113914;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119148;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
REV2_DRR126405	DRR126405	PRJDB6793	SAMD00113915	target	single_cell	Sample attributes: cell_line=CHO-K1; sample_type=single cell; individual cell_id and SMART-seq study design.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD00113915;https://www.ebi.ac.uk/ena/browser/api/xml/DRX119149;https://www.ebi.ac.uk/ena/browser/api/xml/PRJDB6793	2026-09-14
